,listing_id,date,rent,bedrooms,bathrooms,sqft,rent_sqft,fips_block,state,region,mpo_id,lng,lat,cars_tot,children_tot,persons_tot,workers_tot,age_of_head_med,income_med,hhs_tot,race_of_head_1,race_of_head_2,race_of_head_3,race_of_head_4,race_of_head_5,race_of_head_6,race_of_head_7,race_of_head_8,race_of_head_9,recent_mover_0,recent_mover_1,tenure_1,tenure_2
116,5952693864,2017-01-09,2830.0,0.0,1.0,1126.0,2.5133214920071,60855050081001,CA,sfbay,6197001.0,-121.9406,37.4087,3560.0,792.0,5139.0,3170.0,33.0,115000.0,2453.0,756.0,52.0,14.0,2.0,4.0,1500.0,8.0,59.0,58.0,1220.0,1233.0,15.0,2438.0
130,5952691556,2017-01-09,2625.0,2.0,2.0,910.0,2.88461538461538,60014418001002,CA,sfbay,6197001.0,-121.9999,37.5605,1811.0,569.0,2310.0,1109.0,52.0,60000.0,902.0,419.0,32.0,25.0,3.0,3.0,196.0,13.0,139.0,72.0,843.0,59.0,473.0,429.0
382,5952665615,2017-01-09,2050.0,1.0,1.0,527.0,3.8899430740037997,60014418001002,CA,sfbay,6197001.0,-121.9999,37.5605,1811.0,569.0,2310.0,1109.0,52.0,60000.0,902.0,419.0,32.0,25.0,3.0,3.0,196.0,13.0,139.0,72.0,843.0,59.0,473.0,429.0
398,5952668583,2017-01-09,3765.0,3.0,2.0,1312.0,2.86966463414634,60855050093009,CA,sfbay,6197001.0,-121.95464199999999,37.41276,1998.0,501.0,2616.0,1496.0,39.0,90000.0,1046.0,283.0,104.0,14.0,1.0,2.0,527.0,3.0,63.0,49.0,687.0,359.0,215.0,831.0
427,5947307082,2017-01-09,3000.0,3.0,2.5,1387.0,2.1629416005767803,60014417002009,CA,sfbay,6197001.0,-122.01096799999999,37.552402,1829.0,867.0,2866.0,1059.0,48.0,85470.0,887.0,357.0,19.0,18.0,1.0,1.0,354.0,15.0,59.0,63.0,790.0,97.0,529.0,358.0
1155,5952937256,2017-01-09,2375.0,4.0,2.5,2375.0,1.0,60770052063206,CA,sfbay,6196800.0,-121.5397,37.7695,8222.0,4043.0,11864.0,4902.0,46.0,92000.0,3476.0,1412.0,362.0,47.0,1.0,19.0,839.0,46.0,407.0,343.0,2601.0,875.0,2661.0,815.0
4967,5948695086,2017-01-09,2550.0,2.0,2.0,986.0,2.58620689655172,60014414022011,CA,sfbay,6197001.0,-122.043751,37.578527,1354.0,531.0,1900.0,737.0,49.0,90000.0,629.0,248.0,13.0,5.0,1.0,1.0,311.0,6.0,18.0,26.0,522.0,107.0,429.0,200.0
5028,5933668081,2016-12-26,3110.0,2.0,2.0,1255.0,2.47808764940239,60855050081001,CA,sfbay,6197001.0,-121.9406,37.4087,3560.0,792.0,5139.0,3170.0,33.0,115000.0,2453.0,756.0,52.0,14.0,2.0,4.0,1500.0,8.0,59.0,58.0,1220.0,1233.0,15.0,2438.0
5056,5933661097,2016-12-26,3020.0,2.0,2.0,1054.0,2.86527514231499,60855050081001,CA,sfbay,6197001.0,-121.9406,37.4087,3560.0,792.0,5139.0,3170.0,33.0,115000.0,2453.0,756.0,52.0,14.0,2.0,4.0,1500.0,8.0,59.0,58.0,1220.0,1233.0,15.0,2438.0
5149,5933606157,2016-12-26,3695.0,2.0,1.0,1050.0,3.5190476190476203,60750218003004,CA,sfbay,6197001.0,-122.42940700000001,37.735217,460.0,139.0,732.0,434.0,52.0,87600.0,344.0,261.0,3.0,2.0,1.0,1.0,1.0,2.0,45.0,28.0,287.0,57.0,156.0,188.0
5578,5933722179,2016-12-26,4217.0,3.0,2.0,1771.0,2.3811405985319,60014419251021,CA,sfbay,6197001.0,-121.975581,37.553177000000005,2380.0,386.0,3247.0,2093.0,35.0,115360.0,1580.0,451.0,25.0,8.0,1.0,2.0,979.0,8.0,6.0,100.0,852.0,728.0,399.0,1181.0
5639,5935075705,2017-01-10,3500.0,4.0,2.0,1600.0,2.1875,60855050012003,CA,sfbay,6197001.0,-121.95768400000001,37.406079,1429.0,262.0,1646.0,1039.0,47.0,80000.0,767.0,221.0,115.0,13.0,1.0,1.0,355.0,1.0,30.0,30.0,493.0,274.0,282.0,485.0
5899,5952969826,2017-01-10,3300.0,4.0,2.5,1789.0,1.8446059250978202,60014418001002,CA,sfbay,6197001.0,-121.9999,37.5605,1811.0,569.0,2310.0,1109.0,52.0,60000.0,902.0,419.0,32.0,25.0,3.0,3.0,196.0,13.0,139.0,72.0,843.0,59.0,473.0,429.0
6460,5952984991,2017-01-10,1695.0,1.0,1.0,700.0,2.42142857142857,60133451121000,CA,sfbay,6197001.0,-121.922128,37.76778,2364.0,1142.0,3338.0,1530.0,47.0,136650.0,1138.0,755.0,26.0,1.0,1.0,1.0,303.0,3.0,18.0,30.0,847.0,291.0,736.0,402.0
6462,5952984766,2017-01-10,1695.0,1.0,1.0,700.0,2.42142857142857,60133451121000,CA,sfbay,6197001.0,-121.922128,37.76778,2364.0,1142.0,3338.0,1530.0,47.0,136650.0,1138.0,755.0,26.0,1.0,1.0,1.0,303.0,3.0,18.0,30.0,847.0,291.0,736.0,402.0
7535,5979477556,2017-01-28,2888.0,2.0,1.5,918.0,3.1459694989106803,60855050093000,CA,sfbay,6197001.0,-121.955345,37.414755,1998.0,501.0,2616.0,1496.0,39.0,90000.0,1046.0,283.0,104.0,14.0,1.0,2.0,527.0,3.0,63.0,49.0,687.0,359.0,215.0,831.0
7551,5979487278,2017-01-28,2299.0,2.0,2.0,910.0,2.52637362637363,60014414022010,CA,sfbay,6197001.0,-122.04286,37.576801,1354.0,531.0,1900.0,737.0,49.0,90000.0,629.0,248.0,13.0,5.0,1.0,1.0,311.0,6.0,18.0,26.0,522.0,107.0,429.0,200.0
7564,5979482149,2017-01-28,2565.0,1.0,1.0,740.0,3.4662162162162202,60855050093009,CA,sfbay,6197001.0,-121.95464199999999,37.41276,1998.0,501.0,2616.0,1496.0,39.0,90000.0,1046.0,283.0,104.0,14.0,1.0,2.0,527.0,3.0,63.0,49.0,687.0,359.0,215.0,831.0
7649,5979478136,2017-01-28,3170.0,2.0,2.0,1072.0,2.95708955223881,60855050093009,CA,sfbay,6197001.0,-121.95464199999999,37.41276,1998.0,501.0,2616.0,1496.0,39.0,90000.0,1046.0,283.0,104.0,14.0,1.0,2.0,527.0,3.0,63.0,49.0,687.0,359.0,215.0,831.0
7892,5979437312,2017-01-28,2877.0,2.0,2.0,1065.0,2.70140845070423,60855050093000,CA,sfbay,6197001.0,-121.95833300000001,37.411173,1998.0,501.0,2616.0,1496.0,39.0,90000.0,1046.0,283.0,104.0,14.0,1.0,2.0,527.0,3.0,63.0,49.0,687.0,359.0,215.0,831.0
8493,5934125929,2016-12-26,4950.0,3.0,2.0,1700.0,2.91176470588235,60750218003006,CA,sfbay,6197001.0,-122.42926100000001,37.735310999999996,460.0,139.0,732.0,434.0,52.0,87600.0,344.0,261.0,3.0,2.0,1.0,1.0,1.0,2.0,45.0,28.0,287.0,57.0,156.0,188.0
11029,5934436926,2016-12-27,1350.0,2.0,1.0,1025.0,1.3170731707317098,60952517012028,CA,sfbay,6197001.0,-122.26718400000001,38.115009,1088.0,162.0,1343.0,650.0,55.0,35000.0,733.0,477.0,122.0,12.0,1.0,4.0,22.0,13.0,37.0,45.0,460.0,273.0,264.0,469.0
11287,5979575272,2017-01-28,3476.0,2.0,2.0,1428.0,2.43417366946779,60855050093000,CA,sfbay,6197001.0,-121.955495,37.414738,1998.0,501.0,2616.0,1496.0,39.0,90000.0,1046.0,283.0,104.0,14.0,1.0,2.0,527.0,3.0,63.0,49.0,687.0,359.0,215.0,831.0
11306,5979540995,2017-01-28,2716.0,1.0,1.0,885.0,3.06892655367232,60855050081001,CA,sfbay,6197001.0,-121.9406,37.4087,3560.0,792.0,5139.0,3170.0,33.0,115000.0,2453.0,756.0,52.0,14.0,2.0,4.0,1500.0,8.0,59.0,58.0,1220.0,1233.0,15.0,2438.0
13845,5935032825,2016-12-27,3105.0,2.0,2.0,1038.0,2.99132947976879,60855050081001,CA,sfbay,6197001.0,-121.9406,37.4087,3560.0,792.0,5139.0,3170.0,33.0,115000.0,2453.0,756.0,52.0,14.0,2.0,4.0,1500.0,8.0,59.0,58.0,1220.0,1233.0,15.0,2438.0
15676,5953643382,2017-01-10,3145.0,2.0,2.0,1077.0,2.92014856081708,60855050093009,CA,sfbay,6197001.0,-121.95464199999999,37.41276,1998.0,501.0,2616.0,1496.0,39.0,90000.0,1046.0,283.0,104.0,14.0,1.0,2.0,527.0,3.0,63.0,49.0,687.0,359.0,215.0,831.0
15708,5953634970,2017-01-10,2470.0,1.0,1.0,740.0,3.33783783783784,60855050093009,CA,sfbay,6197001.0,-121.95464199999999,37.41276,1998.0,501.0,2616.0,1496.0,39.0,90000.0,1046.0,283.0,104.0,14.0,1.0,2.0,527.0,3.0,63.0,49.0,687.0,359.0,215.0,831.0
15794,5943735176,2017-01-10,1350.0,2.0,1.0,850.0,1.5882352941176499,60952516002044,CA,sfbay,6197001.0,-122.258182,38.106144,1126.0,432.0,1869.0,887.0,46.0,28800.0,825.0,427.0,237.0,6.0,1.0,2.0,91.0,7.0,20.0,34.0,382.0,443.0,26.0,799.0
16193,5935197495,2016-12-27,2721.0,2.0,2.0,975.0,2.79076923076923,60855050012008,CA,sfbay,6197001.0,-121.956874,37.405038,1429.0,262.0,1646.0,1039.0,47.0,80000.0,767.0,221.0,115.0,13.0,1.0,1.0,355.0,1.0,30.0,30.0,493.0,274.0,282.0,485.0
16278,5934990085,2016-12-27,3600.0,4.0,2.0,2550.0,1.4117647058823501,60014416023000,CA,sfbay,6197001.0,-122.02128400000001,37.555301,1841.0,883.0,2987.0,1145.0,46.0,65000.0,926.0,353.0,93.0,29.0,1.0,3.0,171.0,14.0,176.0,86.0,654.0,272.0,403.0,523.0
16281,5935157336,2016-12-27,2687.0,1.0,1.0,925.0,2.9048648648648596,60014419251021,CA,sfbay,6197001.0,-121.975581,37.553177000000005,2380.0,386.0,3247.0,2093.0,35.0,115360.0,1580.0,451.0,25.0,8.0,1.0,2.0,979.0,8.0,6.0,100.0,852.0,728.0,399.0,1181.0
16327,5935140069,2016-12-27,2495.0,1.0,1.0,740.0,3.37162162162162,60855050081001,CA,sfbay,6197001.0,-121.9406,37.4087,3560.0,792.0,5139.0,3170.0,33.0,115000.0,2453.0,756.0,52.0,14.0,2.0,4.0,1500.0,8.0,59.0,58.0,1220.0,1233.0,15.0,2438.0
16667,5936216691,2016-12-28,2779.0,2.0,2.0,1066.0,2.6069418386491603,60014414022010,CA,sfbay,6197001.0,-122.04286,37.576801,1354.0,531.0,1900.0,737.0,49.0,90000.0,629.0,248.0,13.0,5.0,1.0,1.0,311.0,6.0,18.0,26.0,522.0,107.0,429.0,200.0
17085,5953730538,2017-01-10,1350.0,2.0,1.0,1025.0,1.3170731707317098,60952517012028,CA,sfbay,6197001.0,-122.26718400000001,38.115009,1088.0,162.0,1343.0,650.0,55.0,35000.0,733.0,477.0,122.0,12.0,1.0,4.0,22.0,13.0,37.0,45.0,460.0,273.0,264.0,469.0
17088,5953729945,2017-01-10,1350.0,2.0,1.0,1025.0,1.3170731707317098,60952517012028,CA,sfbay,6197001.0,-122.26718400000001,38.115009,1088.0,162.0,1343.0,650.0,55.0,35000.0,733.0,477.0,122.0,12.0,1.0,4.0,22.0,13.0,37.0,45.0,460.0,273.0,264.0,469.0
17158,5946153799,2017-01-10,2450.0,4.0,2.0,2004.0,1.2225548902195602,60770052063206,CA,sfbay,6196800.0,-121.5397,37.7695,8222.0,4043.0,11864.0,4902.0,46.0,92000.0,3476.0,1412.0,362.0,47.0,1.0,19.0,839.0,46.0,407.0,343.0,2601.0,875.0,2661.0,815.0
17163,5953690151,2017-01-10,2712.0,1.0,1.0,925.0,2.9318918918918904,60014419251021,CA,sfbay,6197001.0,-121.975581,37.553177000000005,2380.0,386.0,3247.0,2093.0,35.0,115360.0,1580.0,451.0,25.0,8.0,1.0,2.0,979.0,8.0,6.0,100.0,852.0,728.0,399.0,1181.0
